mesto,id_tekmovalca,tocke
37,2965,91.2
39,2088,90.6
40,4580,90.3
41,2931,84.3
42,2947,84.1
43,1994,83.8
44,2919,82.6
45,4593,80.3
46,4645,80.0
47,4041,79.0
48,4025,71.7
49,4321,66.1
50,3071,27.9
1,1984,264.7
2,1995,262.2
3,1991,260.3
4,2062,259.8
5,2033,249.8
6,4141,248.9
7,2010,246.6
8,2067,242.9
9,2009,240.8
10,2016,238.6
11,2815,237.4
12,2022,236.3
13,2998,235.0
14,2813,233.2
15,2004,231.8
16,2917,230.2
17,2927,227.8
18,2088,225.5
19,1970,225.3
20,2929,222.7
21,4186,222.6
21,2039,222.6
23,2611,220.3
24,2045,219.4
25,4143,217.6
26,4259,213.1
27,4580,207.4
28,3012,207.0
29,4321,202.1
30,4880,197.0
31,2092,108.6
32,4593,107.6
33,2918,105.8
34,2113,104.1
35,4646,103.9
36,1972,102.2
37,4041,100.8
38,4210,100.4
39,4561,99.9
39,2034,99.9
41,2947,99.0
42,1996,98.6
43,2901,97.2
44,4613,95.8
45,4645,95.4
46,4579,95.3
47,2965,94.8
48,2931,93.6
49,4226,90.4
50,4947,80.7
1,4141,273.7
2,4143,270.4
3,2062,257.2
4,4259,252.3
5,3071,249.7
6,1995,246.5
7,2815,244.1
8,1984,241.0
9,2927,237.4
10,2010,237.1
10,1996,237.1
12,2016,237.0
13,1991,234.6
14,2004,234.3
15,3012,220.1
16,2033,215.4
17,2009,214.9
18,2929,209.2
19,4580,205.0
20,2947,200.2
21,2022,195.8
22,2067,192.5
23,2928,187.6
24,2917,185.2
25,1971,182.6
26,2030,181.1
27,2113,158.4
28,4420,136.8
29,4561,129.0
30,4236,125.1
31,4015,66.7
32,4012,66.6
33,3104,65.4
34,4215,63.8
35,3787,61.3
36,4645,54.9
37,4174,54.2
38,2999,54.0
39,4748,52.2
40,4333,50.0
41,4334,37.2
42,4615,36.6
43,4176,36.4
44,4177,35.9
45,4551,27.6
46,1906,23.4
47,2556,20.4
48,3023,16.6
49,4550,12.0
1,2039,419.6
2,4889,417.7
3,2815,417.4
4,2033,415.1
5,4141,412.4
6,2934,412.2
7,2918,411.7
8,2067,409.8
9,1995,404.6
10,2917,403.1
11,4025,401.3
12,4143,397.7
13,1991,395.0
14,2062,393.9
15,4880,391.1
16,1998,385.8
17,4593,383.3
18,4580,381.0
19,3023,379.5
20,2088,379.1
21,5064,370.7
22,3071,365.5
23,2813,364.2
24,4724,363.2
25,4547,361.4
26,4041,355.8
27,2034,354.1
28,2022,347.6
29,3104,343.8
30,2045,340.9
31,4176,167.5
32,4782,166.2
33,4613,165.9
34,2077,165.3
35,4174,161.2
36,4321,160.5
37,2819,160.2
38,2092,157.2
39,4367,155.7
1,2039,215.0
2,2067,212.0
3,2815,211.8
4,3071,210.7
5,4143,207.4
6,1991,205.5
7,4580,204.6
8,4889,202.6
9,5064,202.0
10,2033,201.7
11,4321,200.1
12,4025,199.5
13,4141,198.3
14,2934,198.2
15,3023,197.4
16,4880,196.7
17,1995,195.9
17,2917,195.9
19,4593,194.5
20,4613,191.8
21,2092,191.4
22,2062,188.9
23,2918,188.2
24,2022,184.8
25,1998,182.3
26,2975,179.3
27,2088,177.9
28,2813,177.0
29,2660,175.9
30,2903,175.2
31,2045,172.2
32,4547,165.9
1,4333,143.3
2,2033,138.8
3,1991,134.7
4,5064,133.6
5,2039,131.6
6,1998,131.2
7,4889,130.1
8,2812,123.5
9,5040,122.4
10,4143,119.4
11,2975,119.2
12,2934,118.2
13,5038,117.3
14,4547,115.2
15,4237,114.7
16,2113,111.8
17,2918,111.6
18,4015,111.5
19,4593,111.1
20,2903,109.7
21,2088,107.9
22,1984,107.0
22,2947,107.0
24,2062,106.5
25,1995,106.1
26,4664,105.6
27,1996,101.5
28,2929,96.6
29,2660,93.4
30,4580,92.4
31,4174,91.9
32,4561,91.5
33,2917,90.6
33,2035,90.6
35,4186,89.2
36,4321,88.5
37,4615,87.8
38,3787,87.4
39,2819,82.2
40,2998,82.1
41,2041,80.1
42,2815,78.6
43,2813,76.8
44,4025,75.8
